id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_wilayah,jumlah,satuan,bulan,tahun
117,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,252,ORANG,AGUSTUS,2023
118,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,286,ORANG,AGUSTUS,2023
119,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,233,ORANG,AGUSTUS,2023
120,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,199,ORANG,AGUSTUS,2023
121,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",463,ORANG,SEPTEMBER,2023
122,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",534,ORANG,SEPTEMBER,2023
123,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,288,ORANG,SEPTEMBER,2023
124,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,267,ORANG,SEPTEMBER,2023
125,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,265,ORANG,SEPTEMBER,2023
126,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,259,ORANG,SEPTEMBER,2023
127,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",626,ORANG,OKTOBER,2023
128,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1286,ORANG,OKTOBER,2023
129,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,129,ORANG,OKTOBER,2023
130,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,131,ORANG,OKTOBER,2023
131,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,87,ORANG,OKTOBER,2023
132,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,143,ORANG,OKTOBER,2023
133,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",518,ORANG,NOVEMBER,2023
134,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1182,ORANG,NOVEMBER,2023
135,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,132,ORANG,NOVEMBER,2023
136,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,130,ORANG,NOVEMBER,2023
137,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,78,ORANG,NOVEMBER,2023
138,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,173,ORANG,NOVEMBER,2023
139,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",455,ORANG,DESEMBER,2023
140,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1083,ORANG,DESEMBER,2023
141,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,111,ORANG,DESEMBER,2023
142,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,157,ORANG,DESEMBER,2023
143,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,78,ORANG,DESEMBER,2023
144,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,111,ORANG,DESEMBER,2023
145,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,391,ORANG,JANUARI,2022
146,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,690,ORANG,JANUARI,2022
147,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,82,ORANG,JANUARI,2022
148,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,101,ORANG,JANUARI,2022
149,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,50,ORANG,JANUARI,2022
150,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,38,ORANG,JANUARI,2022
151,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,328,ORANG,FEBRUARI,2022
152,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,573,ORANG,FEBRUARI,2022
153,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,59,ORANG,FEBRUARI,2022
154,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,81,ORANG,FEBRUARI,2022
155,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,68,ORANG,FEBRUARI,2022
156,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,56,ORANG,FEBRUARI,2022
157,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,302,ORANG,MARET,2022
